1,2,3,4,5,6,7,8,9,10
0.514,0.514,0.506,0.082,0.498,0.937,0.529,0.471,0.459,0.502
0.514,0.506,0.475,0.498,0.937,0.471,0.471,0.459,0.439,0.502
0.506,0.475,0.384,0.937,0.471,0.388,0.459,0.439,0.604,0.502
0.475,0.384,0.51,0.471,0.388,0.38,0.439,0.604,0.361,0.376
0.384,0.51,0.627,0.388,0.38,0.514,0.604,0.361,0.165,0.376
0.51,0.627,0.627,0.38,0.514,0.58,0.361,0.165,0.957,0.502
0.627,0.627,0.631,0.514,0.58,0.655,0.165,0.957,0.635,0.627
0.627,0.631,0.627,0.58,0.655,0.616,0.957,0.635,0.604,0.627
0.631,0.627,0.616,0.655,0.616,0.643,0.635,0.604,0.667,0.627
0.627,0.616,0.635,0.616,0.643,0.561,0.604,0.667,0.608,0.627
0.616,0.635,0.639,0.643,0.561,0.624,0.667,0.608,0.62,0.627
0.635,0.639,0.624,0.561,0.624,0.635,0.608,0.62,0.573,0.627
0.639,0.624,0.651,0.624,0.635,0.604,0.62,0.573,0.663,0.627
0.624,0.651,0.784,0.635,0.604,0.573,0.573,0.663,0.282,0.627
0.651,0.784,0.361,0.604,0.573,0.851,0.663,0.282,0.643,0.627
0.784,0.361,0.718,0.573,0.851,0.976,0.282,0.643,0.953,0.753
0.361,0.718,0.388,0.851,0.976,0.518,0.643,0.953,0.773,1.0
0.718,0.388,0.482,0.976,0.518,0.365,0.953,0.773,0.404,0.502
0.388,0.482,0.51,0.518,0.365,0.498,0.773,0.404,0.522,0.376
0.482,0.51,0.129,0.365,0.498,0.537,0.404,0.522,0.435,0.502
0.51,0.129,0.439,0.498,0.537,0.51,0.522,0.435,0.149,0.502
0.129,0.439,0.49,0.537,0.51,0.569,0.435,0.149,0.043,0.502
0.439,0.49,0.545,0.51,0.569,0.859,0.149,0.043,0.506,0.502
0.49,0.545,0.922,0.569,0.859,0.451,0.043,0.506,0.698,0.502
0.545,0.922,0.463,0.859,0.451,0.541,0.506,0.698,0.373,0.502
0.922,0.463,0.149,0.451,0.541,0.373,0.698,0.373,0.129,0.502
0.463,0.149,0.6,0.541,0.373,0.173,0.373,0.129,0.11,0.376
0.624,0.706,0.549,0.671,0.627,0.643,0.612,0.647,1.0,0.627
0.706,0.549,0.584,0.627,0.643,0.616,0.647,1.0,0.671,0.627
0.549,0.584,0.647,0.643,0.616,0.62,1.0,0.671,0.655,0.627
0.584,0.647,1.0,0.616,0.62,0.639,0.671,0.655,0.612,0.627
0.647,1.0,0.584,0.62,0.639,0.608,0.655,0.612,0.635,0.627
1.0,0.584,0.588,0.639,0.608,0.447,0.612,0.635,0.545,0.627
0.584,0.588,0.369,0.608,0.447,0.38,0.635,0.545,0.333,0.502
0.588,0.369,0.376,0.447,0.38,0.396,0.545,0.333,0.38,0.376
0.369,0.376,0.38,0.38,0.396,0.455,0.333,0.38,0.369,0.376
0.376,0.38,0.278,0.396,0.455,0.396,0.38,0.369,0.004,0.376
0.38,0.278,0.447,0.455,0.396,0.345,0.369,0.004,0.345,0.376
0.278,0.447,0.514,0.396,0.345,0.486,0.004,0.345,0.412,0.376
0.447,0.514,0.463,0.345,0.486,0.498,0.345,0.412,0.569,0.502
0.514,0.463,0.129,0.486,0.498,0.478,0.412,0.569,0.463,0.502
0.463,0.129,0.482,0.498,0.478,0.541,0.569,0.463,0.514,0.502
0.129,0.482,0.514,0.478,0.541,0.459,0.463,0.514,0.541,0.502
0.482,0.514,0.569,0.541,0.459,0.384,0.514,0.541,0.22,0.502
0.514,0.569,0.51,0.459,0.384,0.545,0.541,0.22,0.467,0.502
0.569,0.51,0.482,0.384,0.545,0.565,0.22,0.467,0.525,0.502
0.51,0.482,0.486,0.545,0.565,0.459,0.467,0.525,0.486,0.502
0.482,0.486,0.49,0.565,0.459,0.553,0.525,0.486,0.478,0.502
0.486,0.49,0.518,0.459,0.553,0.494,0.486,0.478,0.502,0.502
0.49,0.518,0.482,0.553,0.494,0.533,0.478,0.502,0.494,0.502
0.518,0.482,0.557,0.494,0.533,0.412,0.502,0.494,0.553,0.502
0.482,0.557,0.49,0.533,0.412,0.502,0.494,0.553,0.537,0.502
0.557,0.49,0.467,0.412,0.502,0.514,0.553,0.537,0.459,0.502
0.49,0.467,0.592,0.502,0.514,0.478,0.537,0.459,0.49,0.502
0.467,0.592,0.431,0.514,0.478,0.467,0.459,0.49,0.588,0.502
0.592,0.431,0.494,0.478,0.467,0.573,0.49,0.588,0.471,0.502
0.431,0.494,0.494,0.467,0.573,0.478,0.588,0.471,0.471,0.502
0.494,0.494,0.435,0.573,0.478,0.514,0.471,0.471,0.514,0.502
0.494,0.435,0.553,0.478,0.514,0.525,0.471,0.514,0.435,0.502
0.435,0.553,0.094,0.514,0.525,0.455,0.514,0.435,0.525,0.502
0.553,0.094,0.082,0.525,0.455,0.529,0.435,0.525,0.518,0.502
0.094,0.082,0.498,0.455,0.529,0.471,0.525,0.518,0.506,0.502
0.082,0.498,0.937,0.529,0.471,0.459,0.518,0.506,0.49,0.502
0.498,0.937,0.471,0.471,0.459,0.439,0.506,0.49,0.541,0.502
0.937,0.471,0.388,0.459,0.439,0.604,0.49,0.541,0.42,0.502
0.471,0.388,0.38,0.439,0.604,0.361,0.541,0.42,0.0,0.502
0.388,0.38,0.514,0.604,0.361,0.165,0.42,0.0,0.482,0.376
0.38,0.514,0.58,0.361,0.165,0.957,0.0,0.482,0.651,0.502
0.514,0.58,0.655,0.165,0.957,0.635,0.482,0.651,0.592,0.627
0.58,0.655,0.616,0.957,0.635,0.604,0.651,0.592,0.651,0.627
0.655,0.616,0.643,0.635,0.604,0.667,0.592,0.651,0.525,0.627
0.616,0.643,0.561,0.604,0.667,0.608,0.651,0.525,0.627,0.627
0.643,0.561,0.624,0.667,0.608,0.62,0.525,0.627,0.651,0.627
0.561,0.624,0.635,0.608,0.62,0.573,0.627,0.651,0.651,0.627
0.624,0.635,0.604,0.62,0.573,0.663,0.651,0.651,0.686,0.627
0.635,0.604,0.573,0.573,0.663,0.282,0.651,0.686,0.6,0.627
0.604,0.573,0.851,0.663,0.282,0.643,0.686,0.6,0.459,0.627
0.573,0.851,0.976,0.282,0.643,0.953,0.6,0.459,0.816,0.627
0.851,0.976,0.518,0.643,0.953,0.773,0.459,0.816,1.0,1.0
0.976,0.518,0.365,0.953,0.773,0.404,0.816,1.0,0.553,0.753
0.518,0.365,0.498,0.773,0.404,0.522,1.0,0.553,0.416,0.376
0.365,0.498,0.537,0.404,0.522,0.435,0.553,0.416,0.561,0.502
0.498,0.537,0.51,0.522,0.435,0.149,0.416,0.561,0.408,0.502
0.537,0.51,0.569,0.435,0.149,0.043,0.561,0.408,0.573,0.502
0.51,0.569,0.859,0.149,0.043,0.506,0.408,0.573,0.49,0.502
0.569,0.859,0.451,0.043,0.506,0.698,0.573,0.49,0.329,0.502
0.859,0.451,0.541,0.506,0.698,0.373,0.49,0.329,0.141,0.627
0.451,0.541,0.373,0.698,0.373,0.129,0.329,0.141,0.522,0.376
0.541,0.373,0.173,0.373,0.129,0.11,0.141,0.522,0.259,0.125
0.671,0.627,0.643,0.612,0.647,1.0,0.655,0.647,0.953,0.627
0.627,0.643,0.616,0.647,1.0,0.671,0.647,0.953,1.0,0.627
0.643,0.616,0.62,1.0,0.671,0.655,0.953,1.0,0.584,0.627
0.616,0.62,0.639,0.671,0.655,0.612,1.0,0.584,0.651,0.627
0.62,0.639,0.608,0.655,0.612,0.635,0.584,0.651,0.643,0.627
0.639,0.608,0.447,0.612,0.635,0.545,0.651,0.643,0.49,0.627
0.608,0.447,0.38,0.635,0.545,0.333,0.643,0.49,0.337,0.502
0.447,0.38,0.396,0.545,0.333,0.38,0.49,0.337,0.455,0.376
0.38,0.396,0.455,0.333,0.38,0.369,0.337,0.455,0.357,0.376
0.396,0.455,0.396,0.38,0.369,0.004,0.455,0.357,0.404,0.376
0.455,0.396,0.345,0.369,0.004,0.345,0.357,0.404,0.467,0.376
0.396,0.345,0.486,0.004,0.345,0.412,0.404,0.467,0.416,0.376
0.345,0.486,0.498,0.345,0.412,0.569,0.467,0.416,0.475,0.376
0.486,0.498,0.478,0.412,0.569,0.463,0.416,0.475,0.498,0.502
0.498,0.478,0.541,0.569,0.463,0.514,0.475,0.498,0.478,0.502
0.478,0.541,0.459,0.463,0.514,0.541,0.498,0.478,0.506,0.502
0.541,0.459,0.384,0.514,0.541,0.22,0.478,0.506,0.435,0.502
0.459,0.384,0.545,0.541,0.22,0.467,0.506,0.435,0.463,0.502
0.384,0.545,0.565,0.22,0.467,0.525,0.435,0.463,0.459,0.502
0.545,0.565,0.459,0.467,0.525,0.486,0.463,0.459,0.584,0.502
0.565,0.459,0.553,0.525,0.486,0.478,0.459,0.584,0.412,0.502
0.459,0.553,0.494,0.486,0.478,0.502,0.584,0.412,0.557,0.502
0.553,0.494,0.533,0.478,0.502,0.494,0.412,0.557,0.49,0.502
0.494,0.533,0.412,0.502,0.494,0.553,0.557,0.49,0.463,0.502
0.533,0.412,0.502,0.494,0.553,0.537,0.49,0.463,0.537,0.502
0.412,0.502,0.514,0.553,0.537,0.459,0.463,0.537,0.463,0.502
0.502,0.514,0.478,0.537,0.459,0.49,0.537,0.463,0.494,0.502
0.514,0.478,0.467,0.459,0.49,0.588,0.463,0.494,0.506,0.502
0.478,0.467,0.573,0.49,0.588,0.471,0.494,0.506,0.455,0.502
0.467,0.573,0.478,0.588,0.471,0.471,0.506,0.455,0.557,0.502
0.573,0.478,0.514,0.471,0.471,0.514,0.455,0.557,0.098,0.502
0.478,0.514,0.525,0.471,0.514,0.435,0.557,0.098,0.925,0.502
0.514,0.525,0.455,0.514,0.435,0.525,0.098,0.925,0.459,0.502
0.525,0.455,0.529,0.435,0.525,0.518,0.925,0.459,0.506,0.502
0.455,0.529,0.471,0.525,0.518,0.506,0.459,0.506,0.459,0.502
0.529,0.471,0.459,0.518,0.506,0.49,0.506,0.459,0.129,0.502
0.471,0.459,0.439,0.506,0.49,0.541,0.459,0.129,0.533,0.502
0.459,0.439,0.604,0.49,0.541,0.42,0.129,0.533,0.498,0.502
0.439,0.604,0.361,0.541,0.42,0.0,0.533,0.498,0.396,0.502
0.604,0.361,0.165,0.42,0.0,0.482,0.498,0.396,0.51,0.376
0.361,0.165,0.957,0.0,0.482,0.651,0.396,0.51,0.694,0.502
0.165,0.957,0.635,0.482,0.651,0.592,0.51,0.694,0.553,0.627
0.957,0.635,0.604,0.651,0.592,0.651,0.694,0.553,0.596,0.627
0.635,0.604,0.667,0.592,0.651,0.525,0.553,0.596,0.729,0.627
0.604,0.667,0.608,0.651,0.525,0.627,0.596,0.729,0.471,0.627
0.667,0.608,0.62,0.525,0.627,0.651,0.729,0.471,0.686,0.627
0.608,0.62,0.573,0.627,0.651,0.651,0.471,0.686,0.588,0.627
0.62,0.573,0.663,0.651,0.651,0.686,0.686,0.588,0.651,0.627
0.573,0.663,0.282,0.651,0.686,0.6,0.588,0.651,0.584,0.627
0.663,0.282,0.643,0.686,0.6,0.459,0.651,0.584,0.647,0.627
0.282,0.643,0.953,0.6,0.459,0.816,0.584,0.647,0.635,0.502
0.643,0.953,0.773,0.459,0.816,1.0,0.647,0.635,0.612,0.753
0.953,0.773,0.404,0.816,1.0,0.553,0.635,0.612,1.0,1.0
0.773,0.404,0.522,1.0,0.553,0.416,0.612,1.0,0.365,0.627
0.404,0.522,0.435,0.553,0.416,0.561,1.0,0.365,0.494,0.376
0.522,0.435,0.149,0.416,0.561,0.408,0.365,0.494,0.478,0.502
0.435,0.149,0.043,0.561,0.408,0.573,0.494,0.478,0.125,0.502
0.149,0.043,0.506,0.408,0.573,0.49,0.478,0.125,0.353,0.502
0.043,0.506,0.698,0.573,0.49,0.329,0.125,0.353,0.071,0.502
0.506,0.698,0.373,0.49,0.329,0.141,0.353,0.071,0.247,0.376
0.698,0.373,0.129,0.329,0.141,0.522,0.071,0.247,0.255,0.125
0.373,0.129,0.11,0.141,0.522,0.259,0.247,0.255,0.286,0.125
0.612,0.647,1.0,0.655,0.647,0.953,0.655,0.639,0.616,0.627
0.647,1.0,0.671,0.647,0.953,1.0,0.639,0.616,0.694,0.627
1.0,0.671,0.655,0.953,1.0,0.584,0.616,0.694,0.62,0.627
0.671,0.655,0.612,1.0,0.584,0.651,0.694,0.62,0.624,0.627
0.655,0.612,0.635,0.584,0.651,0.643,0.62,0.624,0.259,0.627
0.612,0.635,0.545,0.651,0.643,0.49,0.624,0.259,0.49,0.627
0.635,0.545,0.333,0.643,0.49,0.337,0.259,0.49,0.408,0.502
0.545,0.333,0.38,0.49,0.337,0.455,0.49,0.408,0.341,0.376
0.333,0.38,0.369,0.337,0.455,0.357,0.408,0.341,0.424,0.376
0.38,0.369,0.004,0.455,0.357,0.404,0.341,0.424,0.396,0.376
0.369,0.004,0.345,0.357,0.404,0.467,0.424,0.396,0.341,0.376
0.004,0.345,0.412,0.404,0.467,0.416,0.396,0.341,0.102,0.376
0.345,0.412,0.569,0.467,0.416,0.475,0.341,0.102,0.506,0.502
0.412,0.569,0.463,0.416,0.475,0.498,0.102,0.506,0.518,0.502
0.569,0.463,0.514,0.475,0.498,0.478,0.506,0.518,0.51,0.502
0.463,0.514,0.541,0.498,0.478,0.506,0.518,0.51,0.498,0.502
0.514,0.541,0.22,0.478,0.506,0.435,0.51,0.498,0.565,0.502
0.541,0.22,0.467,0.506,0.435,0.463,0.498,0.565,0.541,0.502
0.22,0.467,0.525,0.435,0.463,0.459,0.565,0.541,0.51,0.502
0.467,0.525,0.486,0.463,0.459,0.584,0.541,0.51,0.533,0.502
0.525,0.486,0.478,0.459,0.584,0.412,0.51,0.533,0.525,0.502
0.486,0.478,0.502,0.584,0.412,0.557,0.533,0.525,0.455,0.502
0.478,0.502,0.494,0.412,0.557,0.49,0.525,0.455,0.494,0.502
0.502,0.494,0.553,0.557,0.49,0.463,0.455,0.494,0.173,0.502
0.494,0.553,0.537,0.49,0.463,0.537,0.494,0.173,0.431,0.502
0.553,0.537,0.459,0.463,0.537,0.463,0.173,0.431,0.522,0.502
0.537,0.459,0.49,0.537,0.463,0.494,0.431,0.522,0.533,0.502
0.459,0.49,0.588,0.463,0.494,0.506,0.522,0.533,0.439,0.502
0.49,0.588,0.471,0.494,0.506,0.455,0.533,0.439,0.541,0.502
0.588,0.471,0.471,0.506,0.455,0.557,0.439,0.541,0.49,0.502
0.471,0.471,0.514,0.455,0.557,0.098,0.541,0.49,0.494,0.502
0.471,0.514,0.435,0.557,0.098,0.925,0.49,0.494,0.565,0.502
0.514,0.435,0.525,0.098,0.925,0.459,0.494,0.565,0.471,0.502
0.435,0.525,0.518,0.925,0.459,0.506,0.565,0.471,0.451,0.502
0.525,0.518,0.506,0.459,0.506,0.459,0.471,0.451,0.565,0.502
0.518,0.506,0.49,0.506,0.459,0.129,0.451,0.565,0.451,0.502
0.506,0.49,0.541,0.459,0.129,0.533,0.565,0.451,0.416,0.502
0.49,0.541,0.42,0.129,0.533,0.498,0.451,0.416,0.506,0.502
0.541,0.42,0.0,0.533,0.498,0.396,0.416,0.506,0.776,0.502
0.42,0.0,0.482,0.498,0.396,0.51,0.506,0.776,0.443,0.376
0.0,0.482,0.651,0.396,0.51,0.694,0.776,0.443,0.475,0.502
0.482,0.651,0.592,0.51,0.694,0.553,0.443,0.475,0.624,0.627
0.651,0.592,0.651,0.694,0.553,0.596,0.475,0.624,0.616,0.627
0.592,0.651,0.525,0.553,0.596,0.729,0.624,0.616,0.651,0.627
0.651,0.525,0.627,0.596,0.729,0.471,0.616,0.651,0.725,0.627
0.525,0.627,0.651,0.729,0.471,0.686,0.651,0.725,0.549,0.627
0.627,0.651,0.651,0.471,0.686,0.588,0.725,0.549,0.698,0.627
0.651,0.651,0.686,0.686,0.588,0.651,0.549,0.698,0.545,0.627
0.651,0.686,0.6,0.588,0.651,0.584,0.698,0.545,0.663,0.627
0.686,0.6,0.459,0.651,0.584,0.647,0.545,0.663,0.627,0.627
0.6,0.459,0.816,0.584,0.647,0.635,0.663,0.627,0.51,0.627
0.459,0.816,1.0,0.647,0.635,0.612,0.627,0.51,0.706,0.627
0.816,1.0,0.553,0.635,0.612,1.0,0.51,0.706,1.0,1.0
1.0,0.553,0.416,0.612,1.0,0.365,0.706,1.0,0.725,1.0
0.553,0.416,0.561,1.0,0.365,0.494,1.0,0.725,0.416,0.376
0.416,0.561,0.408,0.365,0.494,0.478,0.725,0.416,0.529,0.502
0.561,0.408,0.573,0.494,0.478,0.125,0.416,0.529,0.337,0.502
0.408,0.573,0.49,0.478,0.125,0.353,0.529,0.337,0.129,0.502
0.573,0.49,0.329,0.125,0.353,0.071,0.337,0.129,0.243,0.376
0.49,0.329,0.141,0.353,0.071,0.247,0.129,0.243,0.212,0.125
0.329,0.141,0.522,0.071,0.247,0.255,0.243,0.212,0.224,0.251
0.141,0.522,0.259,0.247,0.255,0.286,0.212,0.224,0.122,0.251
0.655,0.647,0.953,0.655,0.639,0.616,0.584,0.706,0.608,0.627
0.647,0.953,1.0,0.639,0.616,0.694,0.706,0.608,0.482,0.627
0.953,1.0,0.584,0.616,0.694,0.62,0.608,0.482,0.631,0.627
1.0,0.584,0.651,0.694,0.62,0.624,0.482,0.631,0.576,0.627
0.584,0.651,0.643,0.62,0.624,0.259,0.631,0.576,0.71,0.627
0.651,0.643,0.49,0.624,0.259,0.49,0.576,0.71,0.443,0.627
0.643,0.49,0.337,0.259,0.49,0.408,0.71,0.443,0.314,0.502
0.49,0.337,0.455,0.49,0.408,0.341,0.443,0.314,0.384,0.376
0.337,0.455,0.357,0.408,0.341,0.424,0.314,0.384,0.38,0.376
0.455,0.357,0.404,0.341,0.424,0.396,0.384,0.38,0.404,0.376
0.357,0.404,0.467,0.424,0.396,0.341,0.38,0.404,0.365,0.376
0.404,0.467,0.416,0.396,0.341,0.102,0.404,0.365,0.549,0.376
0.467,0.416,0.475,0.341,0.102,0.506,0.365,0.549,0.49,0.502
0.416,0.475,0.498,0.102,0.506,0.518,0.549,0.49,0.063,0.502
0.475,0.498,0.478,0.506,0.518,0.51,0.49,0.063,0.49,0.502
0.498,0.478,0.506,0.518,0.51,0.498,0.063,0.49,0.533,0.502
0.478,0.506,0.435,0.51,0.498,0.565,0.49,0.533,0.447,0.502
0.506,0.435,0.463,0.498,0.565,0.541,0.533,0.447,0.51,0.502
0.435,0.463,0.459,0.565,0.541,0.51,0.447,0.51,0.522,0.502
0.463,0.459,0.584,0.541,0.51,0.533,0.51,0.522,0.435,0.502
0.459,0.584,0.412,0.51,0.533,0.525,0.522,0.435,0.545,0.502
0.584,0.412,0.557,0.533,0.525,0.455,0.435,0.545,0.506,0.502
0.412,0.557,0.49,0.525,0.455,0.494,0.545,0.506,0.624,0.502
0.557,0.49,0.463,0.455,0.494,0.173,0.506,0.624,0.584,0.502
0.49,0.463,0.537,0.494,0.173,0.431,0.624,0.584,0.616,0.502
0.463,0.537,0.463,0.173,0.431,0.522,0.584,0.616,0.667,0.502
0.537,0.463,0.494,0.431,0.522,0.533,0.616,0.667,0.753,0.502
0.463,0.494,0.506,0.522,0.533,0.439,0.667,0.753,0.808,0.502
0.494,0.506,0.455,0.533,0.439,0.541,0.753,0.808,0.722,0.502
0.506,0.455,0.557,0.439,0.541,0.49,0.808,0.722,0.624,0.502
0.455,0.557,0.098,0.541,0.49,0.494,0.722,0.624,0.518,0.502
0.557,0.098,0.925,0.49,0.494,0.565,0.624,0.518,0.314,0.502
0.098,0.925,0.459,0.494,0.565,0.471,0.518,0.314,0.537,0.502
0.925,0.459,0.506,0.565,0.471,0.451,0.314,0.537,0.51,0.502
0.459,0.506,0.459,0.471,0.451,0.565,0.537,0.51,0.471,0.502
0.506,0.459,0.129,0.451,0.565,0.451,0.51,0.471,0.545,0.502
0.459,0.129,0.533,0.565,0.451,0.416,0.471,0.545,0.525,0.502
0.129,0.533,0.498,0.451,0.416,0.506,0.545,0.525,0.529,0.502
0.533,0.498,0.396,0.416,0.506,0.776,0.525,0.529,0.404,0.502
0.498,0.396,0.51,0.506,0.776,0.443,0.529,0.404,0.494,0.376
0.396,0.51,0.694,0.776,0.443,0.475,0.404,0.494,0.122,0.502
0.51,0.694,0.553,0.443,0.475,0.624,0.494,0.122,0.561,0.502
0.694,0.553,0.596,0.475,0.624,0.616,0.122,0.561,0.58,0.627
0.553,0.596,0.729,0.624,0.616,0.651,0.561,0.58,0.608,0.627
0.596,0.729,0.471,0.616,0.651,0.725,0.58,0.608,0.647,0.627
0.729,0.471,0.686,0.651,0.725,0.549,0.608,0.647,0.6,0.627
0.471,0.686,0.588,0.725,0.549,0.698,0.647,0.6,0.573,0.627
0.686,0.588,0.651,0.549,0.698,0.545,0.6,0.573,0.643,0.627
0.588,0.651,0.584,0.698,0.545,0.663,0.573,0.643,0.533,0.627
0.651,0.584,0.647,0.545,0.663,0.627,0.643,0.533,0.494,0.627
0.584,0.647,0.635,0.663,0.627,0.51,0.533,0.494,0.514,0.627
0.647,0.635,0.612,0.627,0.51,0.706,0.494,0.514,0.647,0.502
0.635,0.612,1.0,0.51,0.706,1.0,0.514,0.647,0.761,0.753
0.612,1.0,0.365,0.706,1.0,0.725,0.647,0.761,0.62,1.0
1.0,0.365,0.494,1.0,0.725,0.416,0.761,0.62,0.463,0.753
0.365,0.494,0.478,0.725,0.416,0.529,0.62,0.463,0.365,0.376
0.494,0.478,0.125,0.416,0.529,0.337,0.463,0.365,0.114,0.502
0.478,0.125,0.353,0.529,0.337,0.129,0.365,0.114,0.153,0.376
0.125,0.353,0.071,0.337,0.129,0.243,0.114,0.153,0.247,0.125
0.353,0.071,0.247,0.129,0.243,0.212,0.153,0.247,0.298,0.251
0.071,0.247,0.255,0.243,0.212,0.224,0.247,0.298,0.157,0.251
0.247,0.255,0.286,0.212,0.224,0.122,0.298,0.157,0.161,0.251
0.655,0.639,0.616,0.584,0.706,0.608,0.675,0.576,0.918,0.627
0.639,0.616,0.694,0.706,0.608,0.482,0.576,0.918,0.514,0.627
0.616,0.694,0.62,0.608,0.482,0.631,0.918,0.514,0.659,0.502
0.694,0.62,0.624,0.482,0.631,0.576,0.514,0.659,0.643,0.627
0.62,0.624,0.259,0.631,0.576,0.71,0.659,0.643,0.616,0.627
0.624,0.259,0.49,0.576,0.71,0.443,0.643,0.616,0.522,0.627
0.259,0.49,0.408,0.71,0.443,0.314,0.616,0.522,0.302,0.502
0.49,0.408,0.341,0.443,0.314,0.384,0.522,0.302,0.353,0.376
0.408,0.341,0.424,0.314,0.384,0.38,0.302,0.353,0.408,0.376
0.341,0.424,0.396,0.384,0.38,0.404,0.353,0.408,0.369,0.376
0.424,0.396,0.341,0.38,0.404,0.365,0.408,0.369,0.416,0.376
0.396,0.341,0.102,0.404,0.365,0.549,0.369,0.416,0.478,0.376
0.341,0.102,0.506,0.365,0.549,0.49,0.416,0.478,0.482,0.502
0.102,0.506,0.518,0.549,0.49,0.063,0.478,0.482,0.51,0.502
0.506,0.518,0.51,0.49,0.063,0.49,0.482,0.51,0.486,0.502
0.518,0.51,0.498,0.063,0.49,0.533,0.51,0.486,0.569,0.502
0.51,0.498,0.565,0.49,0.533,0.447,0.486,0.569,0.482,0.502
0.498,0.565,0.541,0.533,0.447,0.51,0.569,0.482,0.486,0.502
0.565,0.541,0.51,0.447,0.51,0.522,0.482,0.486,0.494,0.502
0.541,0.51,0.533,0.51,0.522,0.435,0.486,0.494,0.549,0.502
0.51,0.533,0.525,0.522,0.435,0.545,0.494,0.549,0.463,0.502
0.533,0.525,0.455,0.435,0.545,0.506,0.549,0.463,0.929,0.502
0.525,0.455,0.494,0.545,0.506,0.624,0.463,0.929,0.498,0.502
0.455,0.494,0.173,0.506,0.624,0.584,0.929,0.498,0.671,0.627
0.494,0.173,0.431,0.624,0.584,0.616,0.498,0.671,0.616,0.627
0.173,0.431,0.522,0.584,0.616,0.667,0.671,0.616,0.592,0.627
0.431,0.522,0.533,0.616,0.667,0.753,0.616,0.592,0.224,0.627
0.522,0.533,0.439,0.667,0.753,0.808,0.592,0.224,0.757,0.753
0.533,0.439,0.541,0.753,0.808,0.722,0.224,0.757,0.733,0.753
0.439,0.541,0.49,0.808,0.722,0.624,0.757,0.733,0.361,0.753
0.541,0.49,0.494,0.722,0.624,0.518,0.733,0.361,0.78,0.627
0.49,0.494,0.565,0.624,0.518,0.314,0.361,0.78,0.753,0.502
0.494,0.565,0.471,0.518,0.314,0.537,0.78,0.753,0.392,0.376
0.565,0.471,0.451,0.314,0.537,0.51,0.753,0.392,0.506,0.502
0.471,0.451,0.565,0.537,0.51,0.471,0.392,0.506,0.475,0.502
0.451,0.565,0.451,0.51,0.471,0.545,0.506,0.475,0.494,0.502
0.565,0.451,0.416,0.471,0.545,0.525,0.475,0.494,0.11,0.502
0.451,0.416,0.506,0.545,0.525,0.529,0.494,0.11,0.357,0.502
0.416,0.506,0.776,0.525,0.529,0.404,0.11,0.357,0.396,0.502
